SYMBOL,SYMBOL P/E,ADJUSTED P/E
ZUARI,11.13,11.13
VETO,11.06,11.06
CARERATING,38.13,38.13
PCJEWELLER,14.09,14.09
INDUSTOWER,11.04,11.04
VMART,152.38,447.38
REPCOHOME,6.38,6.38
NIBL,3.65,
JUSTDIAL,13.38,13.38
ATULAUTO,69.02,69.02
ORIENTCEM,51.23,51.23
ESSENTIA,60.79,60.79
PILITA,69.88,69.88
MITCON,14.84,14.84
ORBTEXP,12.57,12.57
JPOLYINVST,17.40,17.40
SREEL,25.37,25.37
NATHBIOGEN,10.38,10.48
CASTROLIND,22.54,22.54
SDBL,31.75,31.75
IREDA,28.38,28.38
BUTTERFLY,56.59,56.59
WONDERLA,37.21,37.21
AGARIND,12.61,12.61
